file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,213,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,25
style.css,214,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,215,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,216,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,30
style.css,217,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,63
style.css,218,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,38
style.css,219,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,61
style.css,220,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,221,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,222,css,1ef80f5a,sebastianferragut,2025-02-07,09:45:22,-08:00,2025-02-07T09:45:22-08:00,0,17
style.css,223,css,1ef80f5a,sebastianferragut,2025-02-07,09:45:22,-08:00,2025-02-07T09:45:22-08:00,0,13
